Date,EUR,USD,JPY,RUB,AUD,CAD,CNY,HKD,INR,KRW,NZD,SGD,THB,VND
8/9/2021,1,1.1761,129.5,86.3776,1.6002,1.4747,7.619,9.1521,87.3195,1345.82,1.6763,1.5943,39.329,26945.99
8/10/2021,1,1.1722,129.48,86.3225,1.5965,1.4729,7.5975,9.1228,87.193,1349.76,1.6758,1.592,39.222,26838.99
8/11/2021,1,1.1718,129.68,86.8412,1.5958,1.4677,7.5996,9.1187,87.1605,1357.41,1.6704,1.5924,39.062,26724.02
8/12/2021,1,1.1739,129.61,86.2888,1.5963,1.4694,7.6036,9.1336,87.1095,1365.19,1.6716,1.5933,38.762,26768.99
8/13/2021,1,1.1765,129.64,86.2279,1.6006,1.4724,7.6237,9.1573,87.374,1369.96,1.6776,1.5967,39.213,26825
8/16/2021,1,1.1772,128.75,86.4513,1.6059,1.4782,7.6243,9.1641,87.3695,1374.09,1.6754,1.5967,39.371,26903
8/17/2021,1,1.1767,128.57,86.3767,1.6138,1.4838,7.6244,9.1704,87.439,1381.91,1.6983,1.5993,39.208,26866.99
8/18/2021,1,1.1723,128.67,86.3484,1.617,1.4793,7.5976,9.1299,87.047,1371.95,1.698,1.5942,39.02,26714
8/19/2021,1,1.1696,128.21,86.7175,1.6319,1.4919,7.5901,9.1121,86.9975,1375.34,1.7101,1.5942,38.994,26678.99
8/20/2021,1,1.1671,127.97,86.9259,1.6373,1.5069,7.5854,9.0924,86.8025,1380.66,1.7108,1.5907,38.946,26661.01
8/23/2021,1,1.1718,129.02,86.8572,1.6311,1.4911,7.599,9.1313,86.915,1372.54,1.7063,1.5924,39.091,26772
8/24/2021,1,1.174,128.74,86.7484,1.6203,1.4822,7.6042,9.1448,87.0625,1369,1.6893,1.5918,38.595,26781.99
8/25/2021,1,1.1736,129,86.6276,1.6191,1.4827,7.6031,9.1357,87.152,1370.17,1.69,1.5901,38.465,26775.01
8/26/2021,1,1.1767,129.6,87.0756,1.6206,1.4838,7.6285,9.1625,87.234,1373.36,1.6882,1.592,38.525,26832.01
8/27/2021,1,1.1761,129.59,87.0549,1.622,1.4914,7.6195,9.1619,86.701,1375.78,1.6927,1.5888,38.406,26798.99
8/30/2021,1,1.1801,129.66,86.7119,1.6167,1.4867,7.6347,9.1891,86.5035,1375.03,1.6844,1.5881,38.271,26869.01
8/31/2021,1,1.1834,129.95,86.76,1.6156,1.4896,7.6465,9.2086,86.385,1370.03,1.676,1.5897,38.129,26959.02
9/1/2021,1,1.1817,130.35,86.3373,1.6088,1.4879,7.6421,9.1907,86.348,1369.25,1.6776,1.5916,38.204,26909
9/2/2021,1,1.1846,130.31,86.2301,1.6038,1.4944,7.6503,9.2075,86.5205,1372.66,1.6702,1.5921,38.446,26986.98
9/3/2021,1,1.1872,130.54,86.381,1.5961,1.4879,7.6555,9.2285,86.7045,1374.06,1.6654,1.5941,38.62,27021.01
9/6/2021,1,1.1864,130.34,86.5584,1.5952,1.4883,7.6611,9.2226,86.7135,1372.45,1.6612,1.5926,38.516,27007.01
9/7/2021,1,1.186,130.51,86.92,1.6044,1.4936,7.667,9.2197,87.1355,1380.15,1.6667,1.5956,38.64,27025.97
9/8/2021,1,1.1827,130.31,86.626,1.6027,1.4982,7.6376,9.1971,87.0105,1377.95,1.6633,1.5909,38.71,26895.01
9/9/2021,1,1.1838,130.1,86.276,1.6035,1.5002,7.6402,9.2072,87.0705,1382.73,1.6617,1.5901,38.687,26937
9/10/2021,1,1.1841,130.03,86.1085,1.5986,1.4919,7.6228,9.2086,86.9469,1380.55,1.6554,1.5847,38.655,26923.99
9/13/2021,1,1.178,129.62,85.8875,1.6015,1.4931,7.6059,9.1641,86.844,1383.74,1.6575,1.5821,38.762,26802.01
9/14/2021,1,1.1814,130.08,86.1062,1.6114,1.4951,7.6168,9.1899,87.037,1382.66,1.6625,1.587,38.927,26866.01
9/15/2021,1,1.1824,129.11,85.9738,1.6153,1.5004,7.6069,9.2021,86.8625,1380.77,1.6666,1.586,38.865,26918.99
9/16/2021,1,1.1763,128.67,85.2347,1.6077,1.4863,7.5849,9.1575,86.473,1380.44,1.6548,1.5805,38.918,26774
9/17/2021,1,1.178,129.61,85.4338,1.6111,1.4913,7.6044,9.1691,86.5335,1386.26,1.6658,1.5851,39.145,26830.97
9/20/2021,1,1.1711,128.18,86.07,1.6201,1.5056,7.5726,9.1188,86.272,1393.32,1.6694,1.5839,39.062,26672.03
9/21/2021,1,1.1738,128.34,85.982,1.62,1.4995,7.5945,9.1389,86.4895,1388.85,1.6707,1.5866,39.205,26709.97
9/22/2021,1,1.1729,128.5,85.3877,1.6178,1.4997,7.585,9.1333,86.622,1387.87,1.6696,1.5855,39.222,26707.01
9/23/2021,1,1.1715,128.88,85.2372,1.611,1.485,7.5643,9.1205,86.367,1374.73,1.6622,1.5798,38.964,26672.99
9/24/2021,1,1.1719,129.49,85.5104,1.6165,1.4895,7.5803,9.124,86.471,1382.54,1.6687,1.5865,39.2,26713
9/27/2021,1,1.1698,129.74,84.9955,1.6129,1.4812,7.5609,9.1054,86.4025,1382.04,1.6711,1.584,39.276,26656
9/28/2021,1,1.1678,130.17,84.7497,1.6115,1.4776,7.5433,9.0882,86.5595,1385.41,1.6781,1.5846,39.46,26589.99
9/29/2021,1,1.1654,129.89,84.6823,1.6112,1.4793,7.5347,9.0714,86.467,1381.2,1.6826,1.5822,39.49,26531.02
9/30/2021,1,1.1579,129.67,84.3391,1.6095,1.475,7.4847,9.0184,86.0766,1371.58,1.6858,1.576,39.235,26336
10/1/2021,1,1.16,128.97,84.7187,1.5985,1.4698,7.4781,9.0304,85.975,1371.32,1.6751,1.5733,39.022,26360
10/4/2021,1,1.1636,129.21,84.7198,1.5957,1.4668,7.5013,9.0597,86.4025,1372.5,1.6687,1.5777,39.242,26448
10/5/2021,1,1.1602,128.99,84.1541,1.5937,1.4612,7.4805,9.0324,86.488,1376.12,1.665,1.5743,39.203,26385.02
10/6/2021,1,1.1542,128.52,83.6242,1.5913,1.4575,7.4407,8.9876,86.438,1379.91,1.6728,1.5712,39.116,26258.98
10/7/2021,1,1.1562,128.78,83.178,1.5839,1.4545,7.4536,9.0008,86.408,1375.87,1.6676,1.5697,39.051,26312.97
10/8/2021,1,1.1569,129.32,83.239,1.5837,1.4499,7.4591,9.0066,86.7495,1381.8,1.6686,1.5681,39.161,26314.98
10/11/2021,1,1.1574,130.7,82.963,1.5751,1.4431,7.4644,9.0049,87.334,1383.43,1.668,1.5665,39.195,26325.02
10/12/2021,1,1.1555,131.06,83.0176,1.566,1.4395,7.4522,8.9915,87.272,1383.4,1.6591,1.5664,38.501,26290.99
10/13/2021,1,1.1562,131.3,83.0248,1.5722,1.4386,7.4482,8.9952,87.1095,1378.13,1.6647,1.5646,38.478,26312.97
10/14/2021,1,1.1602,131.65,83.1225,1.5644,1.4361,7.4683,9.0244,87.3355,1375.51,1.6506,1.5642,38.524,26423.03
10/15/2021,1,1.1602,132.65,82.6325,1.564,1.4342,7.4663,9.0258,86.967,1371.21,1.6445,1.5637,38.669,26424.98
10/18/2021,1,1.1604,132.46,82.7185,1.5707,1.4384,7.4617,9.0268,87.4083,1377.9,1.6436,1.5659,38.827,26380.99
10/19/2021,1,1.1655,133.12,82.6346,1.5601,1.4389,7.4464,9.0635,87.5,1372.96,1.6294,1.5666,38.881,26534.99
10/20/2021,1,1.1623,132.78,82.5141,1.5528,1.4349,7.4302,9.0375,87.0086,1364.31,1.6219,1.5629,38.774,26473.99
10/21/2021,1,1.1637,132.85,82.9299,1.5528,1.4359,7.4463,9.0487,87.1445,1370.6,1.6214,1.5672,38.862,26483.03
10/22/2021,1,1.163,132.43,81.8586,1.551,1.4341,7.4337,9.0412,87.074,1368.39,1.6257,1.5669,38.763,26479
10/25/2021,1,1.1603,131.88,81.1067,1.5505,1.4347,7.4142,9.0191,87.216,1357.3,1.6235,1.5633,38.423,26450.02
10/26/2021,1,1.1618,132.47,80.6417,1.5465,1.4361,7.4124,9.0335,87.082,1354.11,1.6172,1.5637,38.456,26451
10/27/2021,1,1.1617,132,81.495,1.5458,1.4414,7.426,9.0363,87.201,1360.44,1.6211,1.5665,38.65,26388.02
10/28/2021,1,1.1593,131.7,81.6042,1.5411,1.4325,7.4169,9.0167,86.8032,1357.69,1.6146,1.5623,38.547,26411
10/29/2021,1,1.1645,132.62,82.3284,1.5455,1.4383,7.4488,9.0563,87.183,1362.92,1.6255,1.5676,38.72,26512.99
11/1/2021,1,1.1578,132.19,82.2438,1.54,1.4325,7.4077,9.0108,86.7275,1363.88,1.6097,1.5624,38.613,26332.02
11/2/2021,1,1.1603,132.03,83.2159,1.5544,1.4389,7.4239,9.0297,86.604,1363.97,1.626,1.5637,38.568,26395.01
11/3/2021,1,1.1578,131.9,83.3463,1.5574,1.4386,7.4082,9.0114,86.2355,1369.05,1.622,1.5627,38.624,26359
11/4/2021,1,1.1569,131.77,82.7443,1.5602,1.4365,7.3983,9.0059,86.0955,1369.33,1.6235,1.5627,38.542,26212
11/5/2021,1,1.1519,130.98,82.0294,1.5594,1.4341,7.3756,8.967,85.5415,1366.75,1.6242,1.5581,38.341,26159
11/8/2021,1,1.1579,131.29,82.6617,1.5621,1.4411,7.4048,9.0175,85.8135,1368.52,1.6151,1.5611,38.211,26222
11/9/2021,1,1.1577,130.9,82.1148,1.5642,1.4397,7.3989,9.0186,85.791,1362.47,1.6192,1.5601,37.932,26243
11/10/2021,1,1.1558,130.9,81.8733,1.5697,1.4371,7.3866,9.0035,85.8824,1362.58,1.6285,1.5585,37.899,26172
11/11/2021,1,1.146,130.59,81.5313,1.5699,1.4419,7.3292,8.9299,85.309,1353.13,1.6318,1.5516,37.652,25977.01
11/12/2021,1,1.1448,130.5,82.6649,1.569,1.4416,7.3047,8.9206,85.193,1349.1,1.6293,1.5494,37.527,25927.98
11/15/2021,1,1.1444,130.32,82.8109,1.5537,1.4334,7.3034,8.9156,85.143,1350.36,1.6174,1.5457,37.428,25932.01
11/16/2021,1,1.1368,129.89,83.1933,1.549,1.4248,7.2627,8.8544,84.5404,1343,1.6186,1.5393,37.153,25748.03
11/17/2021,1,1.1316,129.78,82.0791,1.5521,1.4206,7.217,8.814,84.03,1337.42,1.6162,1.5364,36.969,25654
11/18/2021,1,1.1345,129.58,82.82,1.558,1.4295,7.2419,8.8366,84.218,1342.26,1.6106,1.5408,37.03,25701.01
11/19/2021,1,1.1271,128.22,82.8124,1.5581,1.4254,7.2027,8.7832,83.6905,1344.64,1.6098,1.5344,36.969,25585.01
11/22/2021,1,1.1278,128.69,84.4872,1.5532,1.4257,7.1975,8.7875,83.852,1338.72,1.6095,1.5357,37.116,25570
11/23/2021,1,1.1259,129.36,84.5002,1.5581,1.4324,7.1943,8.7744,83.8395,1340.6,1.6241,1.5381,37.275,25500.02
11/24/2021,1,1.1206,129.06,83.8087,1.5549,1.4227,7.16,8.7372,83.439,1331.51,1.6257,1.533,37.389,25452.33
11/25/2021,1,1.1223,129.41,83.9075,1.5627,1.4223,7.1676,8.7514,83.6074,1337.04,1.6394,1.535,37.496,25414.29
11/26/2021,1,1.1291,128.82,84.9702,1.5795,1.4397,7.2149,8.8045,84.5395,1348.9,1.6538,1.547,38.006,25669.49
11/29/2021,1,1.1276,128.21,84.0171,1.5782,1.4362,7.2002,8.795,84.6635,1344.73,1.6552,1.5441,37.978,25621.32
11/30/2021,1,1.1363,128.2,84.6123,1.5898,1.4518,7.2395,8.8601,85.3274,1350.29,1.6644,1.5521,38.282,25731.78
12/1/2021,1,1.1314,128.27,83.6246,1.5849,1.4433,7.2065,8.8154,84.7485,1330.53,1.6548,1.5431,38.151,25713.16
12/2/2021,1,1.1339,127.94,83.5138,1.5975,1.4526,7.2297,8.8375,85.052,1333.57,1.6662,1.5501,38.413,25693.04
12/3/2021,1,1.1291,127.97,83.0225,1.5999,1.4471,7.1935,8.8006,84.8455,1334.04,1.6634,1.5466,38.254,25844.44
12/6/2021,1,1.1287,127.78,83.3889,1.6034,1.4437,7.1986,8.8053,85.119,1333.81,1.6703,1.5456,38.252,25979.05
12/7/2021,1,1.1256,127.83,83.7755,1.5836,1.4258,7.1671,8.7753,84.878,1325.5,1.6607,1.538,37.91,26005.88
12/8/2021,1,1.1299,128.57,83.3019,1.5841,1.4281,7.1726,8.8088,85.2345,1328.25,1.6659,1.5415,37.829,26005.98
12/9/2021,1,1.1311,128.21,83.2976,1.584,1.4363,7.2114,8.8186,85.5075,1331.42,1.6672,1.5446,37.96,25964.22
12/10/2021,1,1.1273,128.2,82.8024,1.5765,1.434,7.1814,8.7918,85.3105,1331.35,1.6635,1.5396,37.945,26066.78
12/13/2021,1,1.1278,128.19,82.8238,1.5795,1.4388,7.1777,8.7967,85.4225,1333.6,1.6651,1.542,37.612,25928.16
12/14/2021,1,1.1309,128.45,83.1963,1.5866,1.449,7.1956,8.8227,85.879,1338.31,1.6723,1.5469,37.716,25903.42
12/15/2021,1,1.1262,128.25,83.0838,1.5763,1.4496,7.1691,8.7861,86.0345,1335.4,1.6689,1.5405,37.615,26014.87
12/16/2021,1,1.1336,129.37,83.286,1.5714,1.4484,7.2183,8.8432,86.4005,1341.38,1.661,1.5455,37.919,26054.12
